,2,5,6,7,8,9,10,12,15,20,30,60,120,300,600,1200,1800,3600,7200,14400
0,701558.0,996482.0,770544.0,1789714.0,7031953.0,1882908.0,1596052.0,4788431.0,1007215.0,1106717.0,85402.0,34079.0,8377.0,4408.0,2376.0,2060.0,780.0,931.0,455.0,225.0
